learner on mps, 10 workers, sims=16
[25/10000] warmup | plies 118 decisive 48% | buffer 2940 steps 0 | 213.4 g/min eta 0.8h
[3525/10000] loss 2.108 (pi 2.076 v 0.028 q 0.002 c 0.003) | plies 131 decisive 44% | buffer 200000 steps 6635 | 193.9 g/min eta 0.6h
[3550/10000] loss 2.106 (pi 2.073 v 0.029 q 0.002 c 0.003) | plies 128 decisive 46% | buffer 200000 steps 6674 | 194.9 g/min eta 0.6h
[3575/10000] loss 2.107 (pi 2.074 v 0.029 q 0.002 c 0.003) | plies 130 decisive 44% | buffer 200000 steps 6718 | 195.8 g/min eta 0.5h
[3600/10000] loss 2.103 (pi 2.069 v 0.030 q 0.002 c 0.003) | plies 129 decisive 46% | buffer 200000 steps 6763 | 196.7 g/min eta 0.5h
[3625/10000] loss 2.099 (pi 2.065 v 0.030 q 0.002 c 0.003) | plies 128 decisive 48% | buffer 200000 steps 6806 | 197.2 g/min eta 0.5h
[3650/10000] loss 2.100 (pi 2.063 v 0.032 q 0.003 c 0.004) | plies 127 decisive 50% | buffer 200000 steps 6851 | 197.4 g/min eta 0.5h
[3675/10000] loss 2.092 (pi 2.055 v 0.033 q 0.003 c 0.004) | plies 125 decisive 52% | buffer 200000 steps 6891 | 197.7 g/min eta 0.5h
[3700/10000] loss 2.093 (pi 2.055 v 0.034 q 0.003 c 0.004) | plies 127 decisive 48% | buffer 200000 steps 6935 | 198.1 g/min eta 0.5h
[3725/10000] loss 2.094 (pi 2.055 v 0.034 q 0.003 c 0.004) | plies 126 decisive 50% | buffer 200000 steps 6983 | 198.3 g/min eta 0.5h
[3750/10000] loss 2.099 (pi 2.059 v 0.035 q 0.003 c 0.004) | plies 126 decisive 52% | buffer 200000 steps 7024 | 198.7 g/min eta 0.5h
[3775/10000] loss 2.095 (pi 2.055 v 0.035 q 0.003 c 0.004) | plies 126 decisive 52% | buffer 200000 steps 7066 | 199.0 g/min eta 0.5h
[3800/10000] loss 2.093 (pi 2.052 v 0.036 q 0.003 c 0.004) | plies 123 decisive 54% | buffer 200000 steps 7106 | 199.3 g/min eta 0.5h
[3825/10000] loss 2.095 (pi 2.053 v 0.037 q 0.003 c 0.004) | plies 123 decisive 55% | buffer 200000 steps 7150 | 199.7 g/min eta 0.5h
[3850/10000] loss 2.092 (pi 2.049 v 0.037 q 0.003 c 0.005) | plies 123 decisive 55% | buffer 200000 steps 7194 | 200.0 g/min eta 0.5h
[3875/10000] loss 2.092 (pi 2.048 v 0.038 q 0.003 c 0.005) | plies 123 decisive 56% | buffer 200000 steps 7235 | 200.4 g/min eta 0.5h
[3900/10000] loss 2.095 (pi 2.049 v 0.040 q 0.004 c 0.005) | plies 122 decisive 59% | buffer 200000 steps 7278 | 200.8 g/min eta 0.5h
[3925/10000] loss 2.096 (pi 2.050 v 0.040 q 0.004 c 0.005) | plies 121 decisive 59% | buffer 200000 steps 7323 | 201.1 g/min eta 0.5h
