warm start from runs/run100k/ckpt_100000.pt (2,773,699 params)
learner on mps, 6 workers x 48 games (cpu, 2 threads), sims=32, net 2,773,699 params, study=on, gate at 0 games
  GATE OPEN @1: study/resignation enabled
[25/60000] warmup | plies 49 decisive 96% | buffer 1229 steps 0 | 12.3 g/min eta 81.5h
[3275/60000] loss 2.045 (pi 1.637 v 0.078 q 0.031 c 0.045) | plies 101 decisive 78% | buffer 200000 steps 5863 | 65.7 g/min eta 14.4h
[3300/60000] loss 2.047 (pi 1.637 v 0.078 q 0.031 c 0.044) | plies 102 decisive 78% | buffer 200000 steps 5912 | 65.7 g/min eta 14.4h
[3325/60000] loss 2.049 (pi 1.638 v 0.079 q 0.031 c 0.044) | plies 102 decisive 79% | buffer 200000 steps 5957 | 65.7 g/min eta 14.4h
[3350/60000] loss 2.045 (pi 1.635 v 0.078 q 0.031 c 0.044) | plies 101 decisive 80% | buffer 200000 steps 6002 | 65.7 g/min eta 14.4h
[3375/60000] loss 2.052 (pi 1.641 v 0.079 q 0.031 c 0.043) | plies 102 decisive 82% | buffer 200000 steps 6053 | 65.8 g/min eta 14.3h
[3400/60000] loss 2.052 (pi 1.640 v 0.079 q 0.031 c 0.043) | plies 101 decisive 84% | buffer 200000 steps 6097 | 65.9 g/min eta 14.3h
[3425/60000] loss 2.057 (pi 1.643 v 0.079 q 0.031 c 0.043) | plies 102 decisive 82% | buffer 200000 steps 6147 | 65.9 g/min eta 14.3h
[3450/60000] loss 2.053 (pi 1.640 v 0.078 q 0.030 c 0.043) | plies 103 decisive 81% | buffer 200000 steps 6196 | 65.9 g/min eta 14.3h
[3475/60000] loss 2.048 (pi 1.636 v 0.079 q 0.030 c 0.043) | plies 103 decisive 82% | buffer 200000 steps 6247 | 65.9 g/min eta 14.3h
[3500/60000] loss 2.046 (pi 1.636 v 0.078 q 0.030 c 0.043) | plies 102 decisive 83% | buffer 200000 steps 6291 | 66.0 g/min eta 14.3h
[3525/60000] loss 2.048 (pi 1.643 v 0.077 q 0.030 c 0.044) | plies 103 decisive 82% | buffer 200000 steps 6333 | 65.9 g/min eta 14.3h
[3550/60000] loss 2.053 (pi 1.649 v 0.077 q 0.030 c 0.045) | plies 104 decisive 80% | buffer 200000 steps 6385 | 65.9 g/min eta 14.3h
[3575/60000] loss 2.046 (pi 1.639 v 0.077 q 0.030 c 0.045) | plies 102 decisive 82% | buffer 200000 steps 6431 | 65.9 g/min eta 14.3h
[3600/60000] loss 2.056 (pi 1.644 v 0.079 q 0.030 c 0.045) | plies 101 decisive 82% | buffer 200000 steps 6475 | 65.9 g/min eta 14.3h
[3625/60000] loss 2.058 (pi 1.647 v 0.078 q 0.030 c 0.045) | plies 101 decisive 82% | buffer 200000 steps 6520 | 65.9 g/min eta 14.3h
[3650/60000] loss 2.053 (pi 1.642 v 0.079 q 0.030 c 0.044) | plies 98 decisive 86% | buffer 200000 steps 6561 | 65.9 g/min eta 14.2h
[3675/60000] loss 2.055 (pi 1.644 v 0.079 q 0.030 c 0.043) | plies 98 decisive 84% | buffer 200000 steps 6614 | 66.0 g/min eta 14.2h
